ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
24	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	24	426,413,558	20598,13547,17745	619,825,375	65179,27159,35665	298	149	0.0682782658656	0.25758407158683033	0.01,0.015,0.015	0.005,0.015,0.005	0.005
25	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154400913	154399337	154399396	154400463	154400913	25	650,440,751	0,0,4	724,566,417	0,0,0	298	149	1	1.0	1.0,1.0,0.989	1.0,1.0,1.0	-0.004
26	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	26	826,535,592	7038,3782,7590	1090,380,491	4277,1605,5164	298	149	2.43064621763e-08	9.457541001044388e-07	0.055,0.066,0.038	0.113,0.106,0.045	-0.035
27	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	27	987,668,742	0,0,0	1243,443,622	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.997	0.001
28	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	28	730,508,599	5109,2631,5402	929,358,519	2867,1073,3744	298	149	3.33128890029e-08	1.2691863700844453e-06	0.067,0.088,0.053	0.139,0.143,0.065	-0.046
30	"ENSG00000184216.15"	"IRAK1"	chrX	-	154012528	154013433	154012528	154012678	154013042	154013433	30	19,15,17	1532,685,1140	0,6,6	315,619,449	298	149	1	1.0	0.006,0.011,0.007	0.0,0.005,0.007	0.004
31	"ENSG00000184216.15"	"IRAK1"	chrX	-	154019430	154019812	154019430	154019598	154019676	154019812	31	31,5,18	278,101,151	4,18,11	95,110,97	227	149	0.891477675549	1.0	0.068,0.031,0.073	0.027,0.097,0.069	-0.007
32	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153777527	153778095	153777527	153777688	153777947	153778095	32	0,7,100	5,10,120	0,2,20	3,0,99	298	149	0.221555801084	0.6127337183098148	0.0,0.259,0.294	0.0,1.0,0.092	-0.18
33	"ENSG00000130822.16"	"PNCK"	chrX	-	153671284	153671672	153671284	153671360	153671548	153671672	33	0,4,2	0,3,0	0,5,0	0,7,0	298	149	1	1.0	NA,0.4,1.0	NA,0.263,NA	0.437
35	"ENSG00000130822.16"	"PNCK"	chrX	-	153671879	153672200	153671879	153672018	153672125	153672200	35	0,1,2	0,2,0	0,0,1	0,1,0	256	149	1	1.0	NA,0.225,1.0	NA,0.0,1.0	0.113
43	"ENSG00000102081.16"	"FMR1"	chrX	+	147943130	147945051	147943130	147943326	147944868	147945051	43	9,36,4	99,62,60	9,17,5	29,59,55	298	149	0.893779578223	1.0	0.043,0.225,0.032	0.134,0.126,0.043	-0.001
45	"ENSG00000102081.16"	"FMR1"	chrX	+	147943130	147945051	147943130	147943326	147944904	147945051	45	27,46,13	15,9,8	18,33,14	3,11,6	298	149	0.507849422076	1.0	0.474,0.719,0.448	0.75,0.6,0.538	-0.082
46	"ENSG00000102081.16"	"FMR1"	chrX	+	147943130	147945051	147943130	147943326	147944943	147945051	46	45,65,21	28,14,2	33,49,24	5,3,7	298	149	0.133256870357	0.422712058396121	0.446,0.699,0.84	0.767,0.891,0.632	-0.102
47	"ENSG00000102081.16"	"FMR1"	chrX	+	147943130	147945051	147943130	147943326	147944952	147945051	47	51,69,23	2,0,0	38,52,24	0,0,0	298	149	1	1.0	0.927,1.0,1.0	1.0,1.0,1.0	-0.024
52	"ENSG00000203930.13"	"LINC00632"	chrX	+	140772077	140775905	140772077	140774307	140774402	140775905	52	0,0,0	1,0,1	0,2,0	0,3,0	244	149	1	1.0	0.0,NA,0.0	NA,0.289,NA	-0.289
54	"ENSG00000165359.16"	"INTS6L"	chrX	+	135569336	135573033	135569336	135569431	135572814	135573033	54	6,21,0	0,6,0	0,33,12	2,3,14	298	149	1	1.0	1.0,0.636,NA	0.0,0.846,0.3	0.436
55	"ENSG00000165359.16"	"INTS6L"	chrX	+	135581527	135582510	135581527	135581564	135582240	135582510	55	12,125,21	0,0,1	15,108,27	0,4,2	298	149	0.0468649738932	0.1945614551809069	1.0,1.0,0.913	1.0,0.931,0.871	0.037
62	"ENSG00000089682.17"	"RBM41"	chrX	-	107088435	107088839	107088435	107088573	107088734	107088839	62	219,95,67	4,0,0	72,42,49	0,0,0	298	149	0.641317340946	1.0	0.965,1.0,1.0	1.0,1.0,1.0	-0.012
63	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	63	0,10,10	2,5,7	2,8,11	1,7,8	298	149	0.83226566616	1.0	0.0,0.5,0.417	0.5,0.364,0.407	-0.118
64	"ENSG00000231728.5"	"TMSB15B-AS1"	chrX	-	103918408	103919080	103918408	103918460	103918831	103919080	64	0,2,10	1,0,2	0,0,2	1,0,0	298	149	1	1.0	0.0,1.0,0.714	0.0,NA,1.0	0.071
65	"ENSG00000288597.1"	"ENSG00000288597"	chrX	-	103723855	103724301	103723855	103723938	103724077	103724301	65	0,2,0	0,4,0	0,0,0	0,1,0	288	149	1	1.0	NA,0.206,NA	NA,0.0,NA	0.206
66	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	66	47,47,42	6,0,4	84,87,36	12,3,3	260	149	0.525438897422	1.0	0.818,1.0,0.857	0.8,0.943,0.873	0.02
68	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459	68	0,5,0	0,2,0	0,21,0	0,8,0	298	149	1	1.0	NA,0.556,NA	NA,0.568,NA	-0.012
69	"ENSG00000102393.15"	"GLA"	chrX	-	101398369	101398946	101398369	101398567	101398718	101398946	69	157,40,210	1,0,2	53,13,31	0,0,0	298	149	1	1.0	0.987,1.0,0.981	1.0,1.0,1.0	-0.011
70	"ENSG00000102393.15"	"GLA"	chrX	-	101398369	101398946	101398369	101398567	101398784	101398946	70	214,54,268	1365,246,1319	71,26,32	237,88,151	298	149	0.0132740798337	0.07412205647596604	0.073,0.099,0.092	0.13,0.129,0.096	-0.03
71	"ENSG00000102393.15"	"GLA"	chrX	-	101398369	101401809	101398369	101398946	101401232	101401809	71	345,61,267	0,0,2	37,7,12	0,0,0	298	149	1	1.0	1.0,1.0,0.985	1.0,1.0,1.0	-0.005
72	"ENSG00000102393.15"	"GLA"	chrX	-	101400665	101401809	101400665	101400757	101401232	101401809	72	352,70,283	13,4,14	38,17,17	0,0,2	298	149	0.0060017155507	0.03944523742441195	0.931,0.897,0.91	1.0,1.0,0.81	-0.024
73	"ENSG00000102393.15"	"GLA"	chrX	-	101398369	101401809	101398369	101398946	101401631	101401809	73	222,30,161	1,0,0	37,8,15	0,0,0	298	149	1	1.0	0.991,1.0,1.0	1.0,1.0,1.0	-0.003
74	"ENSG00000102393.15"	"GLA"	chrX	-	101400665	101401809	101400665	101400757	101401631	101401809	74	229,39,177	1457,277,893	38,18,20	270,60,196	298	149	0.311682543427	0.7770817331862663	0.073,0.066,0.09	0.066,0.13,0.049	-0.005
75	"ENSG00000102393.15"	"GLA"	chrX	-	101401232	101401809	101401232	101401347	101401631	101401809	75	514,64,334	6,2,3	55,26,36	0,0,0	298	149	0.146787148199	0.4542081172062965	0.977,0.941,0.982	1.0,1.0,1.0	-0.033
76	"ENSG00000102393.15"	"GLA"	chrX	-	101400665	101401809	101400665	101400757	101401667	101401809	76	373,56,259	4,0,3	47,30,44	0,0,0	298	149	0.66752644693	1.0	0.979,1.0,0.977	1.0,1.0,1.0	-0.015
77	"ENSG00000126953.8"	"TIMM8A"	chrX	-	101345660	101348401	101345660	101346660	101348060	101348401	77	22,30,34	0,0,4	3,18,4	0,0,0	298	149	0.373428526427	0.8759211965179656	1.0,1.0,0.81	1.0,1.0,1.0	-0.063
78	"ENSG00000102384.14"	"CENPI"	chrX	+	101098203	101098539	101098203	101098248	101098443	101098539	78	22,16,6	25,24,7	0,0,1	0,0,1	298	149	1	1.0	0.306,0.25,0.3	NA,NA,0.333	-0.048
80	"ENSG00000085224.23"	"ATRX"	chrX	-	77520787	77522388	77520787	77520916	77522262	77522388	80	11,10,0	0,0,0	9,20,16	0,0,2	298	149	1	1.0	1.0,1.0,NA	1.0,1.0,0.8	0.067
81	"ENSG00000085224.23"	"ATRX"	chrX	-	77681519	77684593	77681519	77683451	77683538	77684593	81	135,93,8	10,4,0	32,42,51	2,2,4	236	149	0.618281649203	1.0	0.895,0.936,1.0	0.91,0.93,0.89	0.034
84	"ENSG00000225470.9"	"JPX"	chrX	+	73944338	73944662	73944338	73944465	73944583	73944662	84	2,0,2	138,166,155	0,0,0	56,137,66	267	149	1	1.0	0.008,0.0,0.007	0.0,0.0,0.0	0.005
85	"ENSG00000225470.9"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	85	7,6,6	19,77,19	10,6,13	14,71,30	258	149	0.182422681473	0.5327780497812535	0.175,0.043,0.154	0.292,0.047,0.2	-0.056
87	"ENSG00000225470.9"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73999354	74000496	87	35,55,37	2,0,3	32,75,29	2,3,0	298	149	0.927075039451	1.0	0.897,1.0,0.86	0.889,0.926,1.0	-0.019
89	"ENSG00000147099.21"	"HDAC8"	chrX	-	72329567	72330876	72329567	72330076	72330815	72330876	89	12,25,20	2,3,3	34,48,18	0,2,0	298	149	0.000277638707357	0.003280980847037892	0.75,0.806,0.769	1.0,0.923,1.0	-0.199
90	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567581	72568030	72567581	72567796	72567888	72568030	90	17,24,49	13,12,38	2,12,2	8,1,0	241	149	0.292434490761	0.7435378171417153	0.447,0.553,0.444	0.134,0.881,1.0	-0.19
91	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150	91	161,247,180	22390,24606,20361	156,185,56	58903,55392,37904	298	149	1	1.0	0.004,0.005,0.004	0.001,0.002,0.001	0.003
92	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023	92	311,284,27	160,173,15	480,19,291	86,129,105	298	149	0.602830279391	1.0	0.493,0.451,0.474	0.736,0.069,0.581	0.011
93	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71544566	71545037	71547906	71548023	93	292,279,28	0,0,0	429,24,293	0,0,6	298	149	0.725895379291	1.0	1.0,1.0,1.0	1.0,1.0,0.961	0.013
94	"ENSG00000147140.17"	"NONO"	chrX	+	71290628	71291972	71290628	71290791	71291778	71291972	94	19,31,4	2219,1831,983	5,1,22	1293,1523,1394	298	149	1	1.0	0.004,0.008,0.002	0.002,0.0,0.008	0.001
95	"ENSG00000147140.17"	"NONO"	chrX	+	71290628	71291972	71290628	71290806	71291778	71291972	95	19,30,4	6,4,2	5,1,22	4,2,3	298	149	0.324102690082	0.7989120899699291	0.613,0.789,0.5	0.385,0.2,0.786	0.177
97	"ENSG00000147140.17"	"NONO"	chrX	+	71296564	71297047	71296564	71296660	71296850	71297047	97	1,14,3	3382,2940,1869	2,7,0	2107,2177,2103	298	149	1	1.0	0.0,0.002,0.001	0.0,0.002,0.0	0.0
98	"ENSG00000147140.17"	"NONO"	chrX	+	71296850	71298508	71296850	71297047	71297360	71298508	98	7,24,9	0,1,1	10,7,10	1,0,0	298	149	1	1.0	1.0,0.923,0.818	0.833,1.0,1.0	-0.031
99	"ENSG00000147140.17"	"NONO"	chrX	+	71296850	71298508	71296850	71297047	71297376	71298508	99	10,23,9	4079,3840,2561	10,9,10	2727,3199,2536	298	149	1	1.0	0.001,0.003,0.002	0.002,0.001,0.002	0.0
101	"ENSG00000147140.17"	"NONO"	chrX	+	71297376	71297938	71297376	71297461	71297835	71297938	101	99,256,66	2591,2384,1617	58,53,58	1640,2112,1464	298	149	6.1619701397e-07	1.6571621901435847e-05	0.019,0.051,0.02	0.017,0.012,0.019	0.014
102	"ENSG00000147140.17"	"NONO"	chrX	+	71297376	71297938	71297376	71297461	71297839	71297938	102	100,282,87	8,0,0	74,83,83	0,0,0	298	149	0.116426021795	0.38173749414183106	0.862,1.0,1.0	1.0,1.0,1.0	-0.046
104	"ENSG00000147140.17"	"NONO"	chrX	+	71297376	71298508	71297376	71297938	71298468	71298508	104	342,425,284	2593,2222,1807	163,188,120	1636,1963,1626	298	149	1.18188375753e-08	4.912204367234063e-07	0.062,0.087,0.073	0.047,0.046,0.036	0.031
106	"ENSG00000196338.15"	"NLGN3"	chrX	+	71147549	71148206	71147549	71147627	71148062	71148206	106	9,21,0	0,0,0	17,45,0	1,0,0	298	149	1	1.0	1.0,1.0,NA	0.895,1.0,NA	0.052
107	"ENSG00000196338.15"	"NLGN3"	chrX	+	71147549	71148905	71147549	71148206	71148845	71148905	107	0,0,0	3,16,0	1,6,2	8,5,2	298	149	1	1.0	0.0,0.0,NA	0.059,0.375,0.333	-0.256
108	"ENSG00000184634.17"	"MED12"	chrX	+	71123593	71124388	71123593	71123720	71124158	71124388	108	1,7,0	53,36,7	0,2,0	20,63,58	298	149	0.0788979193455	0.2879072541177175	0.009,0.089,0.0	0.0,0.016,0.0	0.027
110	"ENSG00000184634.17"	"MED12"	chrX	+	71127335	71128120	71127335	71127467	71127847	71128120	110	10,21,3	0,0,0	4,27,9	1,0,0	298	149	1	1.0	1.0,1.0,1.0	0.667,1.0,1.0	0.111
111	"ENSG00000184634.17"	"MED12"	chrX	+	71127335	71128120	71127335	71127467	71127892	71128120	111	11,20,3	77,63,18	3,33,8	23,144,94	298	149	0.383632489752	0.8911129097110778	0.067,0.137,0.077	0.061,0.103,0.041	0.025
113	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128718	71129113	71129215	113	12,9,5	70,90,37	6,18,5	41,178,98	298	149	0.260874029423	0.6871780789446326	0.079,0.048,0.063	0.068,0.048,0.025	0.016
114	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128853	71129113	71129215	114	17,12,2	1,0,2	11,26,7	0,0,0	298	149	0.492510416769	1.0	0.895,1.0,0.333	1.0,1.0,1.0	-0.257
115	"ENSG00000184634.17"	"MED12"	chrX	+	71129113	71129429	71129113	71129215	71129315	71129429	115	7,6,0	46,51,19	8,12,8	45,126,68	249	149	0.720296950121	1.0	0.083,0.066,0.0	0.096,0.054,0.066	-0.022
116	"ENSG00000184634.17"	"MED12"	chrX	+	71129679	71130214	71129679	71129855	71130011	71130214	116	4,11,5	0,0,0	6,16,3	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.6	0.133
117	"ENSG00000184634.17"	"MED12"	chrX	+	71129679	71130214	71129679	71129855	71130034	71130214	117	6,13,7	15,39,11	6,15,4	11,66,37	298	149	0.104554182309	0.3529367067791117	0.167,0.143,0.241	0.214,0.102,0.051	0.061
118	"ENSG00000184634.17"	"MED12"	chrX	+	71132072	71132538	71132072	71132206	71132376	71132538	118	4,6,0	76,109,42	2,0,0	64,199,118	298	149	0.372271018643	0.8741549385719715	0.026,0.027,0.0	0.015,0.0,0.0	0.013
119	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137383	71137557	71137635	119	6,7,7	51,47,26	2,24,4	22,97,44	298	149	0.702143487708	1.0	0.056,0.069,0.119	0.043,0.11,0.043	0.016
120	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137392	71137557	71137635	120	3,7,6	41,47,38	2,23,1	29,101,50	298	149	0.615004453455	1.0	0.035,0.069,0.073	0.033,0.102,0.01	0.011
121	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137383	71137560	71137635	121	12,13,8	2,0,0	6,30,8	1,0,0	298	149	1	1.0	0.75,1.0,1.0	0.75,1.0,1.0	0.0
122	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137392	71137560	71137635	122	9,13,7	3,2,0	6,29,5	2,9,4	298	149	0.0784692583528	0.287001312425366	0.6,0.765,1.0	0.6,0.617,0.385	0.254
123	"ENSG00000184634.17"	"MED12"	chrX	+	71137725	71137943	71137725	71137780	71137855	71137943	123	232,274,225	15,19,13	157,662,249	8,63,33	224	149	0.0348075725528	0.15448916876435445	0.911,0.906,0.92	0.929,0.875,0.834	0.033
124	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141370	71141882	71141964	124	0,2,14	115,95,196	0,0,0	114,413,111	298	149	0.160426316418	0.4863317466214961	0.0,0.01,0.034	0.0,0.0,0.0	0.015
125	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141414	71141882	71141964	125	0,2,14	0,0,0	0,0,0	0,4,0	298	149	1	1.0	NA,1.0,1.0	NA,0.0,NA	1.0
126	"ENSG00000147168.14"	"IL2RG"	chrX	-	71108276	71108695	71108276	71108346	71108598	71108695	126	0,0,1	0,0,24	0,0,1	0,0,1	298	149	1	1.0	NA,NA,0.02	NA,NA,0.333	-0.313
128	"ENSG00000130055.14"	"GDPD2"	chrX	+	70429492	70430063	70429492	70429714	70429914	70430063	128	2,21,0	1,50,0	0,31,0	0,25,0	298	149	1	1.0	0.5,0.174,NA	NA,0.383,NA	-0.046
129	"ENSG00000120509.12"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	129	35,22,32	96,54,79	14,3,9	42,30,26	298	149	0.0863295597279	0.3077095174200745	0.154,0.169,0.168	0.143,0.048,0.148	0.051
131	"ENSG00000089472.18"	"HEPH"	chrX	+	66256104	66258979	66256104	66256330	66258839	66258979	131	0,16,0	0,110,0	0,8,0	0,53,0	298	149	1	1.0	NA,0.068,NA	NA,0.07,NA	-0.002
133	"ENSG00000102349.18"	"KLF8"	chrX	+	56265179	56269489	56265179	56265744	56269377	56269489	133	0,6,0	0,17,0	0,0,0	0,17,0	298	149	1	1.0	NA,0.15,NA	NA,0.0,NA	0.15
134	"ENSG00000182518.14"	"FAM104B"	chrX	-	55143101	55146311	55143101	55143875	55146180	55146311	134	272,176,199	47,9,12	185,132,53	11,16,3	298	149	0.488564265914	1.0	0.743,0.907,0.892	0.894,0.805,0.898	-0.018
135	"ENSG00000172943.21"	"PHF8"	chrX	-	53984913	53985949	53984913	53985227	53985815	53985949	135	17,7,2	56,54,17	41,55,17	19,40,14	298	149	8.27116153346e-14	7.756864950930756e-12	0.132,0.061,0.056	0.519,0.407,0.378	-0.352
136	"ENSG00000072506.14"	"HSD17B10"	chrX	-	53431260	53431906	53431260	53431594	53431797	53431906	136	55,42,83	1675,1101,1650	14,31,23	691,705,490	298	149	0.410773325628	0.9306702760745246	0.016,0.019,0.025	0.01,0.022,0.023	0.002
137	"ENSG00000072506.14"	"HSD17B10"	chrX	-	53431257	53432116	53431257	53431594	53431973	53432116	137	40,33,56	19,0,21	14,20,11	6,0,4	298	149	0.787026054242	1.0	0.513,1.0,0.571	0.538,1.0,0.579	-0.011
138	"ENSG00000126012.13"	"KDM5C"	chrX	-	53198489	53198888	53198489	53198637	53198763	53198888	138	64,106,20	243,293,116	68,149,40	79,241,91	275	149	1.21612481896e-06	3.0361614507482595e-05	0.125,0.164,0.085	0.318,0.251,0.192	-0.129
139	"ENSG00000126012.13"	"KDM5C"	chrX	-	53211496	53211906	53211496	53211655	53211786	53211906	139	0,0,0	162,235,49	0,2,0	57,242,75	280	149	1	1.0	0.0,0.0,0.0	0.0,0.004,0.0	-0.001
140	"ENSG00000184205.14"	"TSPYL2"	chrX	+	53084531	53084866	53084531	53084622	53084754	53084866	140	26,18,10	47,98,18	12,78,7	15,134,40	281	149	0.353269905925	0.8439481913263799	0.227,0.089,0.228	0.298,0.236,0.085	-0.025
141	"ENSG00000269313.6"	"MAGIX"	chrX	+	49164706	49165090	49164706	49164789	49164862	49165090	141	18,2,8	3,1,4	8,8,6	4,3,0	222	149	0.93552968518	1.0	0.801,0.573,0.573	0.573,0.642,1.0	-0.089
142	"ENSG00000269313.6"	"MAGIX"	chrX	+	49164706	49165090	49164706	49164789	49164907	49165090	142	24,5,12	10,1,0	8,9,8	7,0,2	267	149	0.722720439743	1.0	0.573,0.736,1.0	0.389,1.0,0.691	0.076
143	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976111	48975154	48975291	48976017	48976111	143	128,101,131	2,0,16	117,254,68	2,8,4	298	149	0.405033454497	0.921274788447001	0.97,1.0,0.804	0.967,0.941,0.895	-0.01
144	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976111	48975154	48975309	48976017	48976111	144	95,87,108	174,126,154	98,214,45	83,165,130	298	149	0.275989323636	0.7136944755863237	0.214,0.257,0.26	0.371,0.393,0.148	-0.06
146	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976363	48975154	48976111	48976240	48976363	146	34,74,44	152,104,136	38,91,35	87,194,140	278	149	0.989339254705	1.0	0.107,0.276,0.148	0.19,0.201,0.118	0.007
147	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48988120	48989710	48988120	48988198	48988496	48989710	147	25,55,33	0,0,1	28,55,5	0,0,2	298	149	0.875352660129	1.0	1.0,1.0,0.943	1.0,1.0,0.556	0.129
148	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48988120	48989710	48988120	48988198	48989610	48989710	148	21,29,9	118,82,71	30,34,18	62,157,91	298	149	0.292339028146	0.7435378171417153	0.082,0.15,0.06	0.195,0.098,0.09	-0.03
149	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48999299	48997249	48997357	48999237	48999299	149	1,4,0	4,0,1	0,4,2	0,11,5	298	149	1	1.0	0.111,1.0,0.0	NA,0.154,0.167	0.21
150	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48999237	48999504	48999237	48999299	48999437	48999504	150	2,0,0	87,64,45	0,5,3	65,135,66	287	149	0.660240258874	1.0	0.012,0.0,0.0	0.0,0.019,0.023	-0.01
151	"ENSG00000101940.18"	"WDR13"	chrX	+	48597491	48598037	48597491	48597614	48597957	48598037	151	361,115,209	174,51,103	209,306,204	231,294,112	298	149	0.00068157577208	0.006963305548554749	0.509,0.53,0.504	0.311,0.342,0.477	0.138
152	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48575814	48576083	152	136,134,48	19,14,1	118,101,34	32,41,21	296	149	3.06102611825e-06	6.889663401538078e-05	0.783,0.828,0.96	0.65,0.554,0.449	0.306
153	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48575921	48576083	153	259,252,86	3,1,3	205,250,86	7,2,0	298	149	0.514724377953	1.0	0.977,0.992,0.935	0.936,0.984,1.0	-0.005
154	"ENSG00000068354.16"	"TBC1D25"	chrX	+	48558896	48559346	48558896	48559024	48559157	48559346	154	5,10,2	110,84,68	0,0,4	58,79,56	282	149	0.0100167974051	0.059234335503885606	0.023,0.059,0.015	0.0,0.0,0.036	0.02
155	"ENSG00000102312.24"	"PORCN"	chrX	+	48511891	48512507	48511891	48511935	48512325	48512507	155	7,3,4	48,18,35	16,11,3	23,69,73	298	149	0.311125348656	0.7761242747268973	0.068,0.077,0.054	0.258,0.074,0.02	-0.051
157	"ENSG00000102312.24"	"PORCN"	chrX	+	48512834	48514365	48512834	48512852	48514239	48514365	157	12,7,5	2,4,1	0,20,6	3,1,5	298	149	0.296341303202	0.7506013271892762	0.75,0.467,0.714	0.0,0.909,0.375	0.216
158	"ENSG00000102312.24"	"PORCN"	chrX	+	48514239	48514625	48514239	48514365	48514524	48514625	158	1,2,0	74,50,68	2,6,2	58,64,86	298	149	0.250765925511	0.6694718047857536	0.007,0.02,0.0	0.017,0.045,0.011	-0.015
159	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48477960	48478518	48477960	48478168	48478448	48478518	159	28,16,8	514,223,300	15,14,2	140,170,226	298	149	0.701609241349	1.0	0.027,0.035,0.013	0.051,0.04,0.004	-0.007
160	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48481425	48481715	48481425	48481528	48481631	48481715	160	35,18,38	552,220,365	6,21,16	127,183,276	252	149	0.542823690005	1.0	0.036,0.046,0.058	0.027,0.064,0.033	0.005
