ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
74	"ENSG00000292348.1"	"CD99"	chrY	+	2717604	2717652	2714421	2714454	2719660	2719705	74	3352,330,4799	76,6,89	1643,2231,3587	24,74,80	197	149	0.270300656606	1.0	0.971,0.977,0.976	0.981,0.958,0.971	0.005
75	"ENSG00000292348.1"	"CD99"	chrY	+	2722626	2722674	2720355	2720424	2726259	2726268	75	298,326,236	4,0,6	126,21,204	0,6,2	197	149	0.299408305359	1.0	0.983,1.0,0.967	1.0,0.726,0.987	0.079
76	"ENSG00000292348.1"	"CD99"	chrY	+	2723313	2723364	2722626	2722674	2726259	2726268	76	3127,2813,371	0,0,1	1004,1132,414	0,0,0	200	149	1	1.0	1.0,1.0,0.996	1.0,1.0,1.0	-0.001
77	"ENSG00000292348.1"	"CD99"	chrY	+	2726259	2726373	2720355	2720424	2738202	2738256	77	46,3,5	0,0,1	2,5,2	0,0,0	263	149	1	1.0	1.0,1.0,0.739	1.0,1.0,1.0	-0.087
78	"ENSG00000292348.1"	"CD99"	chrY	+	2726259	2726373	2723313	2723364	2738199	2738256	78	2407,1144,88	0,2,3	760,1050,78	0,5,0	263	149	1	1.0	1.0,0.997,0.943	1.0,0.992,1.0	-0.017
79	"ENSG00000292348.1"	"CD99"	chrY	+	2726259	2726373	2723313	2723364	2738202	2738256	79	1158,956,68	1,1,0	499,662,69	0,0,0	263	149	1	1.0	0.998,0.998,1.0	1.0,1.0,1.0	-0.001
81	"ENSG00000292348.1"	"CD99"	chrY	+	2733356	2733374	2726259	2726373	2738199	2738256	81	0,0,4	1317,203,22	0,0,2	285,417,11	167	149	0.82670931764	1.0	0.0,0.0,0.14	0.0,0.0,0.14	0.0
82	"ENSG00000292348.1"	"CD99"	chrY	+	2733356	2733374	2726259	2726373	2738202	2738256	82	0,0,0	68,15,2	0,0,3	24,26,2	167	149	0.298243319004	1.0	0.0,0.0,0.0	0.0,0.0,0.572	-0.191
83	"ENSG00000292348.1"	"CD99"	chrY	+	2738199	2738256	2723313	2723364	2740778	2741101	83	57,6,7	3,0,0	2,7,0	0,0,0	206	149	1	1.0	0.932,1.0,1.0	1.0,1.0,NA	-0.023
84	"ENSG00000292348.1"	"CD99"	chrY	+	2738202	2738256	2723313	2723364	2740778	2740804	84	57,5,4	3,0,0	2,2,0	0,0,0	203	149	1	1.0	0.933,1.0,1.0	1.0,1.0,NA	-0.022
95	"ENSG00000292338.1"	"DHRSX"	chrY	-	2243022	2243230	2219505	2221229	2266739	2266947	95	0,0,8	0,0,0	6,2,8	0,10,0	298	149	1	1.0	NA,NA,1.0	1.0,0.091,1.0	0.303
96	"ENSG00000292338.1"	"DHRSX"	chrY	-	2291501	2291603	2266739	2266947	2392353	2392474	96	29,23,3	0,0,0	1,4,0	4,0,0	251	149	1	1.0	1.0,1.0,1.0	0.129,1.0,NA	0.435
97	"ENSG00000292338.1"	"DHRSX"	chrY	-	2291501	2291603	2266739	2266947	2408744	2408813	97	270,1,3	2,2,0	2,3,3	30,0,10	251	149	0.000184348882903	0.005220353882369341	0.988,0.229,1.0	0.038,1.0,0.151	0.343
98	"ENSG00000292338.1"	"DHRSX"	chrY	-	2392353	2392474	2266853	2266947	2408744	2408813	98	0,1,0	2,2,0	5,6,0	30,0,10	270	149	1	1.0	0.0,0.216,NA	0.084,1.0,0.0	-0.253
99	"ENSG00000292338.1"	"DHRSX"	chrY	-	2392353	2392474	2291501	2291603	2408744	2408813	99	0,23,0	241,0,1	1,7,0	1,2,3	270	149	0.5419920521	1.0	0.0,1.0,0.0	0.356,0.659,0.0	-0.005
100	"ENSG00000292338.1"	"DHRSX"	chrY	-	2392353	2392474	2291501	2291603	2425196	2425304	100	0,25,5	0,0,5	6,11,2	0,2,16	270	149	1	1.0	NA,1.0,0.356	1.0,0.752,0.065	0.072
101	"ENSG00000292338.1"	"DHRSX"	chrY	-	2408744	2408813	2291501	2291603	2425196	2425304	101	253,0,1	0,0,5	6,4,30	0,2,16	218	149	1	1.0	1.0,NA,0.12	1.0,0.578,0.562	-0.153
102	"ENSG00000292338.1"	"DHRSX"	chrY	-	2408744	2408813	2291501	2291603	2500816	2500960	102	195,4,3	0,0,0	1,2,0	4,0,0	218	149	1	1.0	1.0,1.0,1.0	0.146,1.0,NA	0.427
103	"ENSG00000292338.1"	"DHRSX"	chrY	-	2408744	2408813	2337830	2337999	2425196	2425304	103	19,0,2	0,0,0	5,4,27	0,0,1	218	149	1	1.0	1.0,NA,1.0	1.0,1.0,0.949	0.017
104	"ENSG00000292338.1"	"DHRSX"	chrY	-	2408744	2408813	2392353	2392474	2425196	2425304	104	16,2,0	0,4,5	6,5,27	6,10,2	218	149	0.571187882655	1.0	1.0,0.255,0.0	0.406,0.255,0.902	-0.103
105	"ENSG00000292338.1"	"DHRSX"	chrY	-	2425196	2425304	2291501	2291603	2500816	2500960	105	0,0,5	0,0,0	0,2,76	4,0,0	257	149	1	1.0	NA,NA,1.0	0.0,1.0,1.0	0.333
106	"ENSG00000292338.1"	"DHRSX"	chrY	-	2425196	2425304	2408744	2408813	2500310	2500589	106	99,1,0	7,0,0	19,6,28	0,12,0	257	149	1	1.0	0.891,1.0,NA	1.0,0.225,1.0	0.204
107	"ENSG00000292338.1"	"DHRSX"	chrY	-	2425196	2425304	2408744	2408813	2500816	2500960	107	58,1,0	5,4,2	15,1,94	0,2,0	257	149	0.000416405176503	0.00994474303434294	0.871,0.127,0.0	1.0,0.225,1.0	-0.409
113	"ENSG00000292357.1"	"CSF2RA"	chrY	+	1303260	1303362	1300490	1300626	1303922	1304019	113	0,0,0	0,3,0	0,2,0	0,0,0	251	149	1	1.0	NA,0.0,NA	NA,1.0,NA	-1.0
118	"ENSG00000292327.1"	"PPP2R3B"	chrY	-	341882	341931	341306	341396	345515	345629	118	9,51,5	0,0,2	0,1,0	0,0,0	198	149	1	1.0	1.0,1.0,0.653	NA,1.0,NA	-0.116
121	"ENSG00000292358.1"	"GTPBP6"	chrY	-	314149	314217	312765	312924	314889	315020	121	3,34,736	0,0,0	0,6,19	0,2,0	217	149	1	1.0	1.0,1.0,1.0	NA,0.673,1.0	0.163
122	"ENSG00000292358.1"	"GTPBP6"	chrY	-	315228	315299	314889	315020	316913	317051	122	15,349,28	0,0,0	2,6,375	0,9,2	220	149	0.0111346576883	0.1300000157772341	1.0,1.0,1.0	1.0,0.311,0.992	0.232
125	"ENSG00000124333.16"	"VAMP7"	chrX	+	155895622	155895680	155889457	155889608	155898111	155898249	125	1,0,4	0,0,0	0,42,0	2,2,2	207	149	1	1.0	1.0,NA,1.0	0.0,0.938,0.0	0.687
127	"ENSG00000124333.16"	"VAMP7"	chrX	+	155900496	155900587	155898111	155898249	155919812	155919880	127	0,0,71	0,0,0	0,12,1	0,0,1	240	149	1	1.0	NA,NA,1.0	NA,1.0,0.383	0.308
128	"ENSG00000124333.16"	"VAMP7"	chrX	+	155919812	155919880	155900496	155900587	155939700	155939790	128	0,0,72	0,5,4	0,3,3	0,0,0	217	149	1	1.0	NA,0.0,0.925	NA,1.0,1.0	-0.537
129	"ENSG00000214827.11"	"MTCP1"	chrX	-	155065618	155065789	155065485	155065537	155070693	155071136	129	43,6,46	2,0,0	12,8,30	0,0,1	298	149	1	1.0	0.915,1.0,1.0	1.0,1.0,0.938	-0.008
130	"ENSG00000214827.11"	"MTCP1"	chrX	-	155065905	155066057	155065618	155065789	155070693	155071136	130	32,2,13	12,0,8	4,2,4	3,4,7	298	149	0.0357270442661	0.3173190008424336	0.571,1.0,0.448	0.4,0.2,0.222	0.399
134	"ENSG00000185010.15"	"F8"	chrX	-	155022409	155022496	154999478	154999600	155026779	155026868	134	3,6,0	0,8,0	0,0,0	0,3,3	236	149	1	1.0	1.0,0.321,NA	NA,0.0,0.0	0.66
135	"ENSG00000130826.19"	"DKC1"	chrX	+	154765319	154765530	154764898	154764966	154765906	154765998	135	541,372,176	0,0,0	140,125,194	1,0,2	298	149	1	1.0	1.0,1.0,1.0	0.986,1.0,0.98	0.011
136	"ENSG00000130826.19"	"DKC1"	chrX	+	154765443	154765530	154764898	154764966	154765906	154765998	136	1670,1138,510	0,0,0	354,352,569	1,0,2	236	149	1	1.0	1.0,1.0,1.0	0.996,1.0,0.994	0.003
137	"ENSG00000130826.19"	"DKC1"	chrX	+	154766996	154767061	154766215	154766400	154767255	154767382	137	2050,1319,773	28,7,13	417,426,570	2,0,2	214	149	0.0229249603259	0.22774110814086485	0.981,0.992,0.976	0.993,1.0,0.995	-0.013
138	"ENSG00000130826.19"	"DKC1"	chrX	+	154768301	154768312	154767255	154767382	154769166	154769310	138	66,46,20	0,2,2	13,11,12	0,0,0	160	149	0.535482991072	1.0	1.0,0.955,0.903	1.0,1.0,1.0	-0.047
139	"ENSG00000130826.19"	"DKC1"	chrX	+	154768301	154768432	154767255	154767382	154769166	154769310	139	2212,1371,806	0,2,2	506,493,580	0,0,0	280	149	1	1.0	1.0,0.997,0.995	1.0,1.0,1.0	-0.003
140	"ENSG00000130826.19"	"DKC1"	chrX	+	154768301	154768802	154767255	154767382	154769166	154769310	140	1531,950,513	0,2,2	334,321,387	0,0,0	298	149	1	1.0	1.0,0.996,0.992	1.0,1.0,1.0	-0.004
142	"ENSG00000130826.19"	"DKC1"	chrX	+	154770758	154770879	154769046	154769310	154773130	154773249	142	1757,1077,739	2,4,0	407,360,488	0,0,0	270	149	1	1.0	0.998,0.993,1.0	1.0,1.0,1.0	-0.003
143	"ENSG00000130826.19"	"DKC1"	chrX	+	154773130	154773249	154770758	154770879	154774601	154774690	143	1907,1205,891	0,1,0	434,440,519	0,0,0	268	149	1	1.0	1.0,0.999,1.0	1.0,1.0,1.0	-0.0
144	"ENSG00000130826.19"	"DKC1"	chrX	+	154774785	154774844	154774601	154774705	154775194	154775273	144	0,0,1	1154,753,715	0,1,0	282,273,380	208	149	1	1.0	0.0,0.0,0.001	0.0,0.003,0.0	-0.001
145	"ENSG00000269335.7"	"IKBKG"	chrX	+	154542281	154542452	154541254	154541391	154551987	154552189	145	13,0,24	18,0,26	14,0,26	34,0,5	298	149	1	1.0	0.265,NA,0.316	0.171,NA,0.722	-0.156
146	"ENSG00000269335.7"	"IKBKG"	chrX	+	154551987	154552189	154542243	154542452	154556164	154556376	146	345,119,364	0,0,0	186,99,244	3,0,0	298	149	1	1.0	1.0,1.0,1.0	0.969,1.0,1.0	0.01
149	"ENSG00000269335.7"	"IKBKG"	chrX	+	154560406	154560559	154558531	154558650	154561687	154561763	149	9,0,9	0,0,3	6,0,9	0,0,0	298	149	1	1.0	1.0,NA,0.6	1.0,NA,1.0	-0.2
151	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507861	154507405	154507490	154508288	154508347	151	317,158,330	43,14,66	268,164,304	45,51,60	200	149	0.0313023500374	0.2877357726567441	0.846,0.894,0.788	0.816,0.706,0.791	0.072
152	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507882	154507405	154507490	154508288	154508347	152	125,86,158	43,14,66	116,78,158	45,51,60	221	149	0.0976407225893	0.6719757084294902	0.662,0.806,0.617	0.635,0.508,0.64	0.101
153	"ENSG00000071889.17"	"FAM3A"	chrX	-	154508288	154508347	154507679	154507861	154508473	154508597	153	340,135,368	0,3,0	303,170,321	0,0,0	208	149	1	1.0	1.0,0.97,1.0	1.0,1.0,1.0	-0.01
157	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154508452	154508597	154512822	154512936	157	286,114,271	0,0,0	186,125,342	2,0,0	173	149	1	1.0	1.0,1.0,1.0	0.988,1.0,1.0	0.004
158	"ENSG00000071889.17"	"FAM3A"	chrX	-	154512313	154512411	154511847	154511871	154512822	154512936	158	94,59,60	248,107,226	130,75,102	158,105,295	247	149	0.0177385437539	0.18628147055282143	0.186,0.25,0.138	0.332,0.301,0.173	-0.077
159	"ENSG00000071889.17"	"FAM3A"	chrX	-	154512313	154512431	154511867	154511871	154512822	154512936	159	38,29,36	248,107,226	62,38,57	158,105,295	267	149	0.00340795339276	0.052108465150225464	0.079,0.131,0.082	0.18,0.168,0.097	-0.051
160	"ENSG00000071889.17"	"FAM3A"	chrX	-	154512822	154512936	154511847	154511871	154515759	154515812	160	420,197,394	27,9,14	294,215,475	5,16,29	263	149	0.867680322346	1.0	0.898,0.925,0.941	0.971,0.884,0.903	0.002
161	"ENSG00000203879.12"	"GDI1"	chrX	+	154438215	154438386	154437165	154437299	154438522	154438630	161	1,2,0	916,472,381	0,0,0	679,845,1027	298	149	1	1.0	0.001,0.002,0.0	0.0,0.0,0.0	0.001
162	"ENSG00000203879.12"	"GDI1"	chrX	+	154438475	154438630	154437153	154437299	154438764	154438864	162	811,409,352	0,0,3	712,692,799	0,0,2	298	149	1	1.0	1.0,1.0,0.983	1.0,1.0,0.995	-0.004
163	"ENSG00000203879.12"	"GDI1"	chrX	+	154438522	154438630	154436912	154437299	154438764	154438864	163	1727,880,731	0,0,3	1390,1537,1825	0,0,2	257	149	1	1.0	1.0,1.0,0.993	1.0,1.0,0.998	-0.002
164	"ENSG00000203879.12"	"GDI1"	chrX	+	154439005	154439140	154438764	154438864	154439940	154439972	164	2012,1105,899	0,0,2	1798,1924,2213	2,0,1	284	149	1	1.0	1.0,1.0,0.996	0.998,1.0,0.999	-0.0
166	"ENSG00000203879.12"	"GDI1"	chrX	+	154440374	154440506	154437153	154437299	154441095	154441195	166	1194,602,662	0,0,2	1074,1154,1340	0,0,0	281	149	1	1.0	1.0,1.0,0.994	1.0,1.0,1.0	-0.002
167	"ENSG00000203879.12"	"GDI1"	chrX	+	154442110	154442255	154440523	154441794	154442373	154442428	167	2469,1610,1946	2,0,19	2691,2859,2975	7,10,27	294	149	1	1.0	0.998,1.0,0.981	0.995,0.993,0.982	0.003
168	"ENSG00000203879.12"	"GDI1"	chrX	+	154442373	154442428	154440523	154441794	154442519	154442728	168	946,546,851	0,0,2	1077,1042,1057	0,0,0	204	149	1	1.0	1.0,1.0,0.997	1.0,1.0,1.0	-0.001
171	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154431829	154431904	154428844	154429174	154432265	154432315	171	846,476,668	0,0,2	546,902,1043	0,0,0	224	149	1	1.0	1.0,1.0,0.996	1.0,1.0,1.0	-0.001
172	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154432930	154432965	154432265	154432459	154433634	154433720	172	231,176,251	0,0,0	188,315,293	0,0,2	184	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.992	0.003
173	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154432930	154432971	154432265	154432459	154433634	154433720	173	906,589,977	0,0,0	669,1116,1016	0,0,2	190	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.997	0.001
174	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154434830	154435050	154434207	154434446	154435138	154435186	174	0,0,0	676,484,785	0,4,0	552,831,815	298	149	1	1.0	0.0,0.0,0.0	0.0,0.002,0.0	-0.001
175	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154434985	154435050	154434207	154434446	154435138	154435186	175	0,0,0	676,484,785	0,4,0	552,831,815	214	149	1	1.0	0.0,0.0,0.0	0.0,0.003,0.0	-0.001
177	"ENSG00000013563.14"	"DNASE1L1"	chrX	-	154409111	154409196	154405433	154405655	154411890	154412112	177	132,34,86	6,0,0	139,87,291	0,2,0	234	149	0.338162494064	1.0	0.933,1.0,1.0	1.0,0.965,1.0	-0.011
178	"ENSG00000013563.14"	"DNASE1L1"	chrX	-	154409417	154409675	154409111	154409196	154411890	154412090	178	62,18,5	5,5,4	29,8,13	13,2,8	298	149	0.175058590561	1.0	0.861,0.643,0.385	0.527,0.667,0.448	0.082
179	"ENSG00000013563.14"	"DNASE1L1"	chrX	-	154409417	154409813	154409111	154409196	154411890	154412089	179	40,9,5	5,5,4	16,2,4	13,2,8	298	149	0.0230561558972	0.2286894431723938	0.8,0.474,0.385	0.381,0.333,0.2	0.248
180	"ENSG00000147403.18"	"RPL10"	chrX	+	154399486	154399594	154399337	154399396	154399802	154399941	180	46841,29474,35069	12,12,39	136831,62241,79801	2,4,23	257	149	1	1.0	1.0,0.999,0.998	1.0,1.0,1.0	-0.001
181	"ENSG00000147403.18"	"RPL10"	chrX	+	154399486	154399594	154399337	154399396	154400463	154400626	181	24046,15271,17799	0,0,4	69820,31740,39634	0,0,0	257	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
182	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154399941	154399337	154399396	154400463	154400626	182	20558,13527,17738	0,0,4	65031,27139,35596	0,0,0	288	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
183	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154399941	154399337	154399594	154400463	154400626	183	43350,27724,34971	3,0,0	131963,57585,75683	2,0,0	288	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
184	"ENSG00000147403.18"	"RPL10"	chrX	+	154400463	154400626	154399802	154399941	154400701	154400811	184	39873,26804,38600	42,89,264	135037,55420,71364	560,887,844	298	149	7.2489125813e-11	1.7956424456648735e-08	0.998,0.993,0.987	0.992,0.969,0.977	0.013
186	"ENSG00000196924.19"	"FLNA"	chrX	-	154349361	154349565	154348523	154349036	154349648	154349867	186	15212,8367,22381	0,0,2	10237,3550,12340	0,0,0	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
187	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351041	154350030	154350207	154351580	154351696	187	11914,6289,12733	0,0,0	7023,2644,8775	0,0,1	282	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
188	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351041	154350030	154350207	154351883	154352021	188	6809,3658,7338	0,0,0	4159,1571,5043	0,0,3	282	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
189	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350030	154350207	154351883	154352021	189	12920,6755,13366	0,0,0	7760,2868,9172	0,0,3	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
190	"ENSG00000196924.19"	"FLNA"	chrX	-	154351580	154351696	154350030	154350207	154351883	154352021	190	6068,3070,6005	0,0,0	3543,1276,4112	0,0,3	265	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
191	"ENSG00000196924.19"	"FLNA"	chrX	-	154351580	154351696	154350908	154351041	154351883	154352021	191	11176,5701,11407	0,0,0	6410,2349,7852	0,0,11	265	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.998	0.001
192	"ENSG00000196924.19"	"FLNA"	chrX	-	154352552	154352675	154352180	154352447	154352771	154352783	192	16049,8311,13394	28,27,57	9725,3592,11735	7,8,30	272	149	1	1.0	0.997,0.994,0.992	0.999,0.996,0.995	-0.002
193	"ENSG00000196924.19"	"FLNA"	chrX	-	154353553	154353727	154353295	154353457	154353914	154354043	193	15335,7421,9476	54,28,45	8360,3044,10915	67,56,23	298	149	0.00195731527733	0.03379625158418005	0.993,0.993,0.991	0.984,0.965,0.996	0.011
194	"ENSG00000196924.19"	"FLNA"	chrX	-	154353914	154354043	154353553	154353727	154354150	154354291	194	12781,6308,7639	25,0,2	7113,2631,9192	0,0,0	278	149	1	1.0	0.996,1.0,1.0	1.0,1.0,1.0	-0.001
195	"ENSG00000196924.19"	"FLNA"	chrX	-	154354615	154354711	154354380	154354483	154354824	154354889	195	12650,5942,6303	69,18,38	6088,2165,8872	38,29,60	245	149	0.144070870861	0.8899698707379166	0.991,0.995,0.99	0.99,0.978,0.989	0.006
196	"ENSG00000196924.19"	"FLNA"	chrX	-	154357250	154357274	154354824	154355072	154357433	154357623	196	6841,348,3793	3711,3436,1017	3965,147,5706	1268,1225,1611	173	149	0.778738084231	1.0	0.614,0.08,0.763	0.729,0.094,0.753	-0.04
197	"ENSG00000196924.19"	"FLNA"	chrX	-	154359989	154360587	154359731	154359905	154361307	154361570	197	9825,4057,3060	0,2,6	4096,1439,6288	1,0,0	298	149	1	1.0	1.0,0.999,0.996	1.0,1.0,1.0	-0.002
198	"ENSG00000196924.19"	"FLNA"	chrX	-	154362417	154362578	154362241	154362332	154362660	154362784	198	10841,4556,2460	0,1,1	4328,1424,6793	0,2,2	298	149	1	1.0	1.0,1.0,0.999	1.0,0.997,0.999	0.001
199	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365135	154365259	154366023	154366224	199	7225,2864,1281	0,0,2	2699,919,4300	0,0,0	287	149	1	1.0	1.0,1.0,0.997	1.0,1.0,1.0	-0.001
201	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365348	154365486	154366307	154366470	201	2824,1110,454	182,39,33	1000,314,1711	16,1,39	298	149	4.93116658618e-12	1.731404972504476e-09	0.886,0.934,0.873	0.969,0.994,0.956	-0.075
202	"ENSG00000196924.19"	"FLNA"	chrX	-	154366023	154366224	154365348	154365486	154366307	154366334	202	5825,2312,977	182,39,33	2117,698,3541	16,1,39	298	149	2.41995312678e-12	8.862702018331174e-10	0.941,0.967,0.937	0.985,0.997,0.978	-0.038
203	"ENSG00000196924.19"	"FLNA"	chrX	-	154366561	154366639	154366307	154366470	154366731	154366850	203	6181,2426,922	1,0,0	2149,764,3716	0,0,0	227	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
204	"ENSG00000196924.19"	"FLNA"	chrX	-	154367841	154368090	154367640	154367738	154370872	154371203	204	7874,3117,1148	0,0,0	2852,949,4573	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
205	"ENSG00000196924.19"	"FLNA"	chrX	-	154370872	154371361	154367841	154368090	154374505	154374634	205	2808,1147,417	0,1,0	1060,340,1649	0,0,0	298	149	1	1.0	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
208	"ENSG00000169057.25"	"MECP2"	chrX	-	154033438	154033635	154032463	154032557	154097603	154097625	208	0,0,2	0,0,0	0,0,0	4,0,36	298	149	1	1.0	NA,NA,1.0	0.0,NA,0.0	1.0
210	"ENSG00000169057.25"	"MECP2"	chrX	-	154039791	154039903	154032434	154032557	154092183	154092307	210	6,0,2	119,122,112	4,2,2	50,103,73	261	149	0.703860929978	1.0	0.028,0.0,0.01	0.044,0.011,0.015	-0.011
211	"ENSG00000169057.25"	"MECP2"	chrX	-	154039791	154039903	154032434	154032557	154097603	154097625	211	4,0,2	0,0,0	2,2,2	4,0,36	261	149	1	1.0	1.0,NA,1.0	0.222,1.0,0.031	0.582
213	"ENSG00000169057.25"	"MECP2"	chrX	-	154058398	154058548	154032465	154032557	154092183	154092307	213	0,0,2	119,122,112	0,0,0	50,103,73	298	149	1	1.0	0.0,0.0,0.009	0.0,0.0,0.0	0.003
214	"ENSG00000169057.25"	"MECP2"	chrX	-	154058398	154058566	154032206	154032557	154092183	154092307	214	0,0,1	119,122,112	0,0,2	50,103,73	298	149	1	1.0	0.0,0.0,0.004	0.0,0.0,0.014	-0.003
217	"ENSG00000169057.25"	"MECP2"	chrX	-	154092183	154092307	154032206	154032557	154097603	154097663	217	174,148,137	0,0,0	66,133,97	4,0,36	273	149	6.40764841187e-08	7.180975584037561e-06	1.0,1.0,1.0	0.9,1.0,0.595	0.168
219	"ENSG00000169057.25"	"MECP2"	chrX	-	154092183	154092307	154058398	154058522	154097603	154097663	219	55,27,25	0,0,2	16,30,24	0,0,0	273	149	1	1.0	1.0,1.0,0.872	1.0,1.0,1.0	-0.043
220	"ENSG00000184216.15"	"IRAK1"	chrX	-	154012528	154012678	154010505	154011917	154013042	154013343	220	3685,1699,3160	56,2,70	830,1596,1152	0,1,28	298	149	0.0031615953846	0.049166598034018245	0.971,0.998,0.958	1.0,0.999,0.954	-0.009
221	"ENSG00000184216.15"	"IRAK1"	chrX	-	154012528	154013433	154010545	154011917	154016436	154016644	221	2160,1017,2025	4,0,9	515,977,705	0,0,0	298	149	1	1.0	0.996,1.0,0.991	1.0,1.0,1.0	-0.004
222	"ENSG00000184216.15"	"IRAK1"	chrX	-	154013042	154013343	154012528	154012678	154014041	154014278	222	1642,738,1204	1,0,27	332,659,474	0,0,0	298	149	0.148274158861	0.9084566510603957	0.999,1.0,0.957	1.0,1.0,1.0	-0.015
223	"ENSG00000184216.15"	"IRAK1"	chrX	-	154013042	154013433	154011730	154011917	154016031	154016097	223	85,3,95	4,0,0	14,16,56	0,0,3	298	149	0.762510506607	1.0	0.914,1.0,1.0	1.0,1.0,0.903	0.004
224	"ENSG00000184216.15"	"IRAK1"	chrX	-	154013042	154013433	154011730	154011917	154016436	154016644	224	56,2,72	4,0,9	0,1,30	0,0,0	298	149	1	1.0	0.875,1.0,0.8	NA,1.0,1.0	-0.108
