ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
40	"ENSG00000130822.16"	"PNCK"	chrX	-	153671879	153672200	153672125	153672200	153671548	153671672	40	0,1,2	0,1,0	2,10,2	0,0,2	298	149	1	1.0	NA,0.333,1.0	1.0,1.0,0.333	-0.111
42	"ENSG00000262919.8"	"CCNQ"	chrX	-	153598961	153599117	153598965	153599117	153596003	153596187	42	160,71,150	22,21,49	66,77,115	25,18,27	153	149	0.596213223785	1.0	0.876,0.767,0.749	0.72,0.806,0.806	0.02
43	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959937	152959698	152959896	152963838	152963949	43	2,0,0	40,64,4	0,0,0	20,56,12	190	149	1	1.0	0.038,0.0,0.0	0.0,0.0,0.0	0.013
46	"ENSG00000235703.7"	"EOLA2-DT"	chrX	+	149945783	149948175	149945783	149947347	149948305	149948394	46	9,15,0	0,9,4	25,40,5	11,35,19	298	149	0.645860241126	1.0	1.0,0.455,0.0	0.532,0.364,0.116	0.148
47	"ENSG00000197620.11"	"EOLA1"	chrX	+	149542018	149542085	149542018	149542066	149545367	149545500	47	24,4,31	106,29,92	24,9,17	36,41,87	168	149	0.520419885113	1.0	0.167,0.109,0.23	0.372,0.163,0.148	-0.059
49	"ENSG00000155966.14"	"AFF2"	chrX	+	148843381	148843433	148843381	148843415	148885888	148885985	49	0,0,0	0,19,0	0,3,0	0,7,1	167	149	1	1.0	NA,0.0,NA	NA,0.277,0.0	-0.139
53	"ENSG00000203930.13"	"LINC00632"	chrX	+	140711620	140716289	140711620	140711656	140733877	140733964	53	0,5,0	0,2,0	0,13,0	0,5,0	298	149	1	1.0	NA,0.556,NA	NA,0.565,NA	-0.009
57	"ENSG00000165359.16"	"INTS6L"	chrX	+	135577192	135577427	135577192	135577295	135579787	135580162	57	8,56,13	4,13,0	13,67,19	0,10,3	281	149	0.435530603834	1.0	0.515,0.696,1.0	1.0,0.78,0.771	-0.113
59	"ENSG00000213468.7"	"FIRRE"	chrX	-	131756610	131756709	131756642	131756709	131755597	131755746	59	5,28,1	0,2,0	4,43,4	0,2,0	181	149	1	1.0	1.0,0.92,1.0	1.0,0.947,1.0	-0.009
62	"ENSG00000102034.18"	"ELF4"	chrX	-	130081255	130081539	130081436	130081539	130074580	130074752	62	155,28,28	2,0,1	47,79,99	0,0,0	298	149	0.625963114135	1.0	0.975,1.0,0.933	1.0,1.0,1.0	-0.031
64	"ENSG00000102038.16"	"SMARCA1"	chrX	-	129448301	129448443	129448332	129448443	129446504	129447301	64	35,28,9	50,70,48	23,17,5	98,119,46	180	149	0.00184948485288	0.024931818490988533	0.367,0.249,0.134	0.163,0.106,0.083	0.133
65	"ENSG00000102038.16"	"SMARCA1"	chrX	-	129448301	129448443	129448332	129448443	129446505	129447233	65	83,49,31	291,296,262	53,48,19	306,415,170	180	149	0.0390059824325	0.24711348172837697	0.191,0.121,0.089	0.125,0.087,0.085	0.035
66	"ENSG00000125676.20"	"THOC2"	chrX	-	123620374	123620965	123620906	123620965	123619400	123619436	66	20,29,8	253,239,187	18,11,9	161,197,92	298	149	0.849267686224	1.0	0.038,0.057,0.021	0.053,0.027,0.047	-0.004
68	"ENSG00000203650.9"	"LINC01285"	chrX	+	118841814	118841871	118841814	118841865	118845240	118845285	68	0,2,0	0,1,0	0,1,0	0,2,0	155	149	1	1.0	NA,0.658,NA	NA,0.325,NA	0.333
69	"ENSG00000101901.13"	"ALG13"	chrX	+	111681169	111681424	111681169	111681299	111682131	111682294	69	232,40,90	384,33,132	75,65,70	81,34,44	274	149	0.00548901977413	0.0566938566876176	0.247,0.397,0.27	0.335,0.51,0.464	-0.132
70	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682294	111682131	111682235	111684964	111685103	70	584,145,291	0,5,5	186,109,146	2,0,0	208	149	0.906407864173	1.0	1.0,0.954,0.977	0.985,1.0,1.0	-0.018
71	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682300	111682131	111682235	111684964	111685103	71	188,32,82	0,5,5	44,41,42	2,0,0	214	149	0.0266222490391	0.18379753349275163	1.0,0.817,0.919	0.939,1.0,1.0	-0.068
72	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682300	111682131	111682294	111684964	111685103	72	1,0,1	397,113,210	0,0,0	142,68,104	155	149	1	1.0	0.002,0.0,0.005	0.0,0.0,0.0	0.002
73	"ENSG00000101938.15"	"CHRDL1"	chrX	-	110795685	110795765	110795743	110795765	110792087	110792215	73	0,1,0	0,12,0	0,0,0	0,3,0	207	149	1	1.0	NA,0.057,NA	NA,0.0,NA	0.057
74	"ENSG00000237863.3"	"IRS4-AS1"	chrX	+	108737264	108737923	108737264	108737879	108738428	108739223	74	0,4,0	0,0,0	0,0,0	0,4,0	193	149	1	1.0	NA,1.0,NA	NA,0.0,NA	1.0
78	"ENSG00000123560.14"	"PLP1"	chrX	+	103786464	103786726	103786464	103786621	103787797	103787966	78	0,21,0	0,114,0	0,0,0	0,7,0	254	149	1	1.0	NA,0.098,NA	NA,0.0,NA	0.098
79	"ENSG00000172465.14"	"TCEAL1"	chrX	+	103629493	103629573	103629493	103629561	103629884	103630953	79	34,2,14	129,5,90	118,20,119	544,69,308	161	149	0.176673664202	0.7130200102177012	0.196,0.27,0.126	0.167,0.212,0.263	-0.017
80	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103586218	103586301	103586218	103586291	103586648	103587518	80	0,0,0	906,631,645	1,1,0	1476,1132,1311	159	149	1	1.0	0.0,0.0,0.0	0.001,0.001,0.0	-0.001
83	"ENSG00000184867.14"	"ARMCX2"	chrX	-	101659407	101659501	101659418	101659501	101659075	101659136	83	0,19,0	0,101,2	0,8,2	0,30,3	160	149	1	1.0	NA,0.149,0.0	NA,0.199,0.383	-0.217
84	"ENSG00000184867.14"	"ARMCX2"	chrX	-	101659407	101659501	101659418	101659501	101659075	101659148	84	0,44,0	0,346,0	0,27,4	0,227,15	160	149	1	1.0	NA,0.106,NA	NA,0.1,0.199	-0.044
85	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101486022	101486098	101486022	101486092	101487192	101487272	85	0,2,0	0,13,0	0,0,0	0,22,0	155	149	1	1.0	NA,0.129,NA	NA,0.0,NA	0.129
86	"ENSG00000102393.15"	"GLA"	chrX	-	101398718	101398946	101398784	101398946	101398369	101398567	86	69,16,79	1365,246,1319	20,13,4	237,88,151	215	149	0.23907074942	0.8683580887266444	0.034,0.043,0.04	0.055,0.093,0.018	-0.016
87	"ENSG00000102393.15"	"GLA"	chrX	-	101401232	101401809	101401631	101401809	101398369	101398946	87	198,26,141	1,0,0	25,8,15	0,0,0	298	149	1	1.0	0.99,1.0,1.0	1.0,1.0,1.0	-0.003
88	"ENSG00000102393.15"	"GLA"	chrX	-	101401232	101401809	101401631	101401809	101400665	101400757	88	211,30,153	1457,277,893	25,8,17	270,60,196	298	149	0.00670984350759	0.06626730642390245	0.068,0.051,0.079	0.044,0.062,0.042	0.017
89	"ENSG00000102393.15"	"GLA"	chrX	-	101401232	101401809	101401667	101401809	101400665	101400757	89	355,47,235	4,0,3	34,20,41	0,0,0	298	149	0.761222143885	1.0	0.978,1.0,0.975	1.0,1.0,1.0	-0.016
90	"ENSG00000102393.15"	"GLA"	chrX	-	101401631	101401809	101401667	101401809	101400665	101400757	90	1658,301,999	4,0,3	291,72,224	0,0,0	185	149	1	1.0	0.997,1.0,0.996	1.0,1.0,1.0	-0.002
92	"ENSG00000102385.13"	"DRP2"	chrX	+	101242903	101243098	101242903	101242982	101245016	101245077	92	3,1,0	2,7,0	2,0,0	0,9,0	265	149	1	1.0	0.458,0.074,NA	1.0,0.0,NA	-0.234
95	"ENSG00000225470.9"	"JPX"	chrX	+	73944317	73944465	73944317	73944414	73944583	73944662	95	164,216,195	3,5,7	80,191,72	0,4,0	200	149	0.0284226220654	0.1935698990245679	0.976,0.97,0.954	1.0,0.973,1.0	-0.024
97	"ENSG00000230590.13"	"FTX"	chrX	-	74280376	74280494	74280393	74280494	74274341	74274410	97	4,9,1	5,11,4	2,2,7	0,12,8	166	149	0.83126176822	1.0	0.418,0.423,0.183	1.0,0.13,0.44	-0.182
99	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71545037	71544566	71544635	71547906	71548023	99	143,130,4	160,173,15	209,4,143	86,129,105	298	149	0.63894681017	1.0	0.309,0.273,0.118	0.549,0.015,0.405	-0.09
101	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71554512	71554592	101	520,471,32	0,0,0	568,120,443	0,1,0	298	149	1	1.0	1.0,1.0,1.0	1.0,0.984,1.0	0.005
102	"ENSG00000147140.17"	"NONO"	chrX	+	71290628	71290806	71290628	71290791	71291778	71291972	102	6,5,2	2219,1831,983	4,2,3	1293,1523,1394	164	149	1	1.0	0.002,0.002,0.002	0.003,0.001,0.002	0.0
103	"ENSG00000147140.17"	"NONO"	chrX	+	71294226	71294528	71294226	71294348	71296564	71296660	103	6894,5874,3432	0,0,2	4150,4317,4148	0,0,3	298	149	1	1.0	1.0,1.0,0.999	1.0,1.0,0.999	0.0
105	"ENSG00000196338.15"	"NLGN3"	chrX	+	71147549	71148905	71147549	71148206	71153476	71153536	105	6,8,0	2,12,0	12,11,4	2,4,0	298	149	1	1.0	0.6,0.25,NA	0.75,0.579,1.0	-0.351
106	"ENSG00000184634.17"	"MED12"	chrX	+	71126968	71127241	71126968	71127132	71127335	71128120	106	0,2,0	96,53,22	0,2,0	23,148,111	258	149	1	1.0	0.0,0.021,0.0	0.0,0.008,0.0	0.004
107	"ENSG00000184634.17"	"MED12"	chrX	+	71127892	71128120	71127892	71128029	71128295	71128440	107	92,64,19	0,0,0	50,166,94	0,4,0	240	149	0.659025954653	1.0	1.0,1.0,1.0	1.0,0.963,1.0	0.012
108	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71128853	71128597	71128718	71129113	71129215	108	7,6,7	70,90,37	3,8,2	41,178,98	284	149	0.0136842120576	0.11211450931402106	0.05,0.034,0.09	0.037,0.023,0.011	0.034
109	"ENSG00000184634.17"	"MED12"	chrX	+	71135091	71135374	71135091	71135253	71136280	71136655	109	6,10,10	64,81,54	3,21,3	51,140,59	270	149	0.532860434009	1.0	0.049,0.064,0.093	0.031,0.076,0.027	0.024
110	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137392	71137186	71137383	71137557	71137635	110	44,47,39	51,47,26	29,102,53	22,97,44	158	149	0.73831293797	1.0	0.449,0.485,0.586	0.554,0.498,0.532	-0.021
111	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137392	71137186	71137383	71137560	71137635	111	6,2,1	2,0,0	2,10,7	1,0,0	158	149	1	1.0	0.739,1.0,1.0	0.654,1.0,1.0	0.028
112	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141414	71141229	71141370	71141882	71141964	112	0,0,0	115,95,196	0,4,0	114,413,111	193	149	1	1.0	0.0,0.0,0.0	0.0,0.007,0.0	-0.002
115	"ENSG00000158813.18"	"EDA"	chrX	+	70033397	70033528	70033397	70033522	70035357	70039469	115	2,16,0	4,2,0	0,6,0	0,1,0	155	149	1	1.0	0.325,0.885,NA	NA,0.852,NA	-0.247
116	"ENSG00000083750.13"	"RRAGB"	chrX	+	55717748	55718419	55717748	55717788	55719313	55719347	116	32,42,24	0,0,0	84,121,66	1,0,0	298	149	1	1.0	1.0,1.0,1.0	0.977,1.0,1.0	0.008
117	"ENSG00000182518.14"	"FAM104B"	chrX	-	55159125	55159228	55159128	55159228	55146180	55146311	117	51,29,31	270,152,116	28,51,4	128,114,36	152	149	0.313710664737	1.0	0.156,0.158,0.208	0.177,0.305,0.098	-0.019
118	"ENSG00000086758.17"	"HUWE1"	chrX	-	53538834	53539080	53539002	53539080	53538336	53538454	118	1922,1945,884	0,4,0	980,1490,649	0,0,0	298	149	1	1.0	1.0,0.996,1.0	1.0,1.0,1.0	-0.001
119	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543840	53543968	53543885	53543968	53542442	53542539	119	561,489,227	190,209,97	189,350,189	127,185,70	194	149	0.0646453860682	0.3503018336304867	0.694,0.642,0.643	0.533,0.592,0.675	0.06
120	"ENSG00000086758.17"	"HUWE1"	chrX	-	53602563	53602658	53602590	53602658	53600117	53600309	120	322,259,17	10,6,0	79,148,64	2,1,0	176	149	0.0256111403529	0.17966269917088004	0.965,0.973,1.0	0.971,0.992,1.0	-0.008
121	"ENSG00000126012.13"	"KDM5C"	chrX	-	53193772	53193851	53193781	53193851	53193436	53193636	121	155,207,132	177,217,112	60,193,63	70,235,66	158	149	0.308942475472	1.0	0.452,0.474,0.526	0.447,0.436,0.474	0.032
124	"ENSG00000269313.6"	"MAGIX"	chrX	+	49164706	49165090	49164706	49164789	49165189	49165361	124	33,6,10	4,0,14	15,4,10	1,5,0	298	149	0.517595517363	1.0	0.805,1.0,0.263	0.882,0.286,1.0	-0.033
125	"ENSG00000147144.13"	"CCDC120"	chrX	+	49061958	49062104	49061958	49062058	49062234	49062325	125	9,7,0	6,2,0	7,10,0	0,3,0	195	149	1	1.0	0.534,0.728,NA	1.0,0.718,NA	-0.228
126	"ENSG00000147144.13"	"CCDC120"	chrX	+	49061958	49062117	49061958	49062058	49062234	49062325	126	19,26,0	6,2,0	14,44,0	0,3,0	208	149	1	1.0	0.694,0.903,NA	1.0,0.913,NA	-0.158
128	"ENSG00000147144.13"	"CCDC120"	chrX	+	49062234	49062325	49062234	49062289	49062467	49062601	128	19,20,0	0,0,0	8,45,1	1,0,0	185	149	1	1.0	1.0,1.0,NA	0.866,1.0,1.0	0.045
129	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976111	48976017	48976111	48973727	48974285	129	119,108,128	0,0,1	119,256,72	0,0,0	298	149	1	1.0	1.0,1.0,0.985	1.0,1.0,1.0	-0.005
130	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48983223	48983440	48983227	48983440	48982978	48983092	130	0,2,0	206,175,153	0,1,0	153,280,182	153	149	1	1.0	0.0,0.011,0.0	0.0,0.003,0.0	0.003
131	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48988496	48989710	48989610	48989710	48988120	48988198	131	15,15,1	118,82,71	18,13,19	62,157,91	298	149	0.12273125906	0.5514893276524261	0.06,0.084,0.007	0.127,0.04,0.095	-0.037
132	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48999299	48999237	48999299	48993427	48993578	132	98,73,66	4,0,0	68,115,77	0,0,0	298	149	0.460216584547	1.0	0.925,1.0,1.0	1.0,1.0,1.0	-0.025
133	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	49001998	49002264	49002103	49002264	48999437	48999504	133	2,0,3	2,2,0	1,4,0	0,0,0	254	149	1	1.0	0.37,0.0,1.0	1.0,1.0,NA	-0.543
134	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	49001998	49002264	49002187	49002264	48999437	48999504	134	0,0,0	35,19,24	1,0,0	31,53,31	298	149	1	1.0	0.0,0.0,0.0	0.016,0.0,0.0	-0.005
135	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	49002103	49002264	49002187	49002264	48999437	48999504	135	2,2,0	35,19,24	0,0,0	31,53,31	233	149	0.396414221382	1.0	0.035,0.063,0.0	0.0,0.0,0.0	0.033
138	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48576313	48576419	138	136,117,35	2961,1310,602	118,137,71	1824,334,713	298	149	2.32607867523e-07	1.5841564977764313e-05	0.022,0.043,0.028	0.031,0.17,0.047	-0.052
139	"ENSG00000102312.24"	"PORCN"	chrX	+	48509423	48509707	48509423	48509577	48509783	48509956	139	19,8,12	3,0,0	8,7,18	0,2,0	279	149	0.598197040126	1.0	0.772,1.0,1.0	1.0,0.651,1.0	0.04
141	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48481425	48481715	48481425	48481528	48482402	48482506	141	521,177,434	2,0,0	157,201,249	0,0,0	298	149	1	1.0	0.992,1.0,1.0	1.0,1.0,1.0	-0.003
142	"ENSG00000102225.17"	"CDK16"	chrX	+	47222260	47222380	47222260	47222342	47223551	47223759	142	39,38,18	29,70,33	10,21,8	11,26,16	187	149	0.934571913365	1.0	0.517,0.302,0.303	0.42,0.392,0.285	0.008
143	"ENSG00000102225.17"	"CDK16"	chrX	+	47224384	47224518	47224384	47224476	47224617	47224743	143	1147,859,677	10,11,13	411,1037,451	4,5,4	191	149	0.0878010255095	0.43853560334691444	0.989,0.984,0.976	0.988,0.994,0.989	-0.007
144	"ENSG00000147123.12"	"NDUFB11"	chrX	-	47144296	47144702	47144472	47144702	47142613	47142744	144	0,0,5	2233,1786,3884	4,1,1	1629,1246,1437	298	149	1	1.0	0.0,0.0,0.001	0.001,0.0,0.0	0.0
145	"ENSG00000251192.8"	"ZNF674"	chrX	-	46528334	46528445	46528349	46528445	46499436	46501332	145	2,0,0	4,0,0	0,0,3	0,0,2	164	149	1	1.0	0.312,NA,NA	NA,NA,0.577	-0.265
146	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46471141	46471185	146	16,13,24	23,2,27	21,9,22	8,10,17	164	149	0.81916516324	1.0	0.387,0.855,0.447	0.705,0.45,0.54	-0.002
147	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46472024	46472526	147	8,5,2	1,0,0	8,12,7	2,0,6	164	149	0.000684102740381	0.011557270585558084	0.879,1.0,1.0	0.784,1.0,0.515	0.193
148	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46472752	46473594	148	6,9,4	0,0,0	9,8,10	0,3,4	164	149	0.000248744667049	0.005211911797375924	1.0,1.0,1.0	1.0,0.708,0.694	0.199
156	"ENSG00000215301.11"	"DDX3X"	chrX	+	41344238	41344564	41344238	41344399	41345179	41345324	156	0,3,0	1351,842,48	1,0,0	328,511,225	298	149	1	1.0	0.0,0.002,0.0	0.002,0.0,0.0	0.0
157	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347314	41347454	41347314	41347451	41347639	41349884	157	0,2,0	1514,1086,129	0,0,0	398,581,290	152	149	1	1.0	0.0,0.002,0.0	0.0,0.0,0.0	0.001
161	"ENSG00000156313.15"	"RPGR"	chrX	-	38287093	38288041	38287860	38288041	38276586	38276772	161	47,75,3	1,0,0	30,49,11	2,0,1	298	149	0.862914190684	1.0	0.959,1.0,1.0	0.882,1.0,0.846	0.077
162	"ENSG00000156313.15"	"RPGR"	chrX	-	38287093	38288041	38287864	38288041	38276586	38276772	162	47,75,3	7,0,0	30,49,11	0,4,0	298	149	0.177561845725	0.713960238222663	0.77,1.0,1.0	1.0,0.86,1.0	-0.03
163	"ENSG00000156313.15"	"RPGR"	chrX	-	38287860	38288041	38287864	38288041	38276586	38276772	163	1,0,0	7,0,0	2,0,1	0,4,0	153	149	1	1.0	0.122,NA,NA	1.0,0.0,1.0	-0.545
164	"ENSG00000156313.15"	"RPGR"	chrX	-	38287860	38288041	38287864	38288041	38287093	38287245	164	78,91,7	1,0,2	32,37,13	2,2,0	153	149	0.447708572178	1.0	0.987,1.0,0.773	0.94,0.947,1.0	-0.042
165	"ENSG00000158290.19"	"CUL4B"	chrX	-	120538117	120538209	120538123	120538209	120536926	120537034	165	27,22,0	254,127,137	3,10,10	184,160,255	155	149	0.00147104293031	0.020683179953476946	0.093,0.143,0.0	0.015,0.057,0.036	0.043
166	"ENSG00000158290.19"	"CUL4B"	chrX	-	120561132	120561453	120561371	120561453	120560082	120560625	166	0,0,0	65,53,4	6,0,0	16,48,25	298	149	0.349960668436	1.0	0.0,0.0,0.0	0.158,0.0,0.0	-0.053
168	"ENSG00000131828.14"	"PDHA1"	chrX	+	19353081	19353408	19353081	19353173	19354490	19354583	168	12,16,4	818,351,569	28,14,6	326,208,224	298	149	2.13112041691e-06	0.00010397959168475805	0.007,0.022,0.004	0.041,0.033,0.013	-0.018
171	"ENSG00000165195.16"	"PIGA"	chrX	-	15331215	15331992	15331589	15331992	15325913	15326046	171	104,54,13	4,4,0	29,36,13	5,9,2	298	149	0.0007690747078	0.012602031176933336	0.929,0.871,1.0	0.744,0.667,0.765	0.208
173	"ENSG00000165195.16"	"PIGA"	chrX	-	15331215	15331992	15331873	15331992	15325913	15326046	173	133,67,9	0,0,0	37,62,34	0,7,0	298	149	0.00871163015256	0.08136662562491041	1.0,1.0,1.0	1.0,0.816,1.0	0.061
175	"ENSG00000165195.16"	"PIGA"	chrX	-	15331589	15331992	15331873	15331992	15325913	15326046	175	92,54,4	0,0,0	21,56,34	0,7,0	298	149	0.00523964410325	0.05489870696642388	1.0,1.0,1.0	1.0,0.8,1.0	0.067
176	"ENSG00000165195.16"	"PIGA"	chrX	-	15331819	15331992	15331873	15331992	15325913	15326046	176	61,37,0	0,0,0	8,39,21	0,7,0	203	149	1	1.0	1.0,1.0,NA	1.0,0.804,1.0	0.065
177	"ENSG00000102048.16"	"ASB9"	chrX	-	15248682	15248935	15248743	15248935	15243986	15244630	177	160,97,107	54,55,32	112,20,19	17,10,7	210	149	0.182397181746	0.7280297767126667	0.678,0.556,0.703	0.824,0.587,0.658	-0.044
178	"ENSG00000046651.16"	"OFD1"	chrX	+	13746779	13746956	13746779	13746953	13749426	13749533	178	0,0,0	58,9,18	0,6,2	47,25,25	152	149	0.00493672352851	0.05308581275644781	0.0,0.0,0.0	0.0,0.19,0.073	-0.088
180	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154413206	154413339	154413206	154413252	154413481	154413567	180	16,9,19	192,70,54	37,17,41	100,109,59	236	149	0.00124899659174	0.01826832151408528	0.05,0.075,0.182	0.189,0.09,0.305	-0.092
181	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154413206	154413352	154413206	154413252	154413481	154413567	181	16,9,10	192,70,54	37,14,32	100,109,59	249	149	5.04840473832e-05	0.0014328220140473152	0.047,0.071,0.1	0.181,0.071,0.245	-0.093
182	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154413206	154413358	154413206	154413252	154413481	154413567	182	17,11,14	192,70,54	52,16,36	100,109,59	255	149	3.78204064149e-05	0.0011831091729216086	0.049,0.084,0.132	0.233,0.079,0.263	-0.103
183	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154413206	154413352	154413206	154413339	154413481	154413567	183	0,0,0	0,0,9	3,0,0	3,3,9	162	149	1	1.0	NA,NA,0.0	0.479,0.0,0.0	-0.16
184	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154413206	154413358	154413206	154413339	154413481	154413567	184	1,2,4	0,0,9	18,2,4	3,3,9	168	149	0.255256711222	0.9039470421300715	1.0,1.0,0.283	0.842,0.372,0.283	0.262
186	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154419542	154419746	154419542	154419623	154420031	154420094	186	123,47,46	84,27,31	127,69,84	35,21,20	272	149	1.99680876345e-06	9.890254314724319e-05	0.445,0.488,0.448	0.665,0.643,0.697	-0.208
187	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154420031	154420264	154420031	154420094	154420657	154420735	187	363,178,151	2,0,1	252,231,157	0,0,0	298	149	1	1.0	0.989,1.0,0.987	1.0,1.0,1.0	-0.008
